bar        a            b           c          d        e
  1   265.715  -0.0208427   0.00899404  -0.183013  1.06701
  2   270.948  -0.0121215   0.00799162  -0.178676  1.0787
  3   208.035   0.00751658  0.0095658   -0.184792  1.07976
  4   289.835  -0.00982418  0.00816866  -0.17786   1.08718
  5   339.892   0.111553    0.00826487  -0.181898  1.08548
  6   278.233   0.0335855   0.0089949   -0.18183   1.06797
  7   268.263   0.017025    0.00895266  -0.180163  1.0766
  8   247.703   0.0237359   0.00850408  -0.176009  1.0785
  9   234.631   0.0555843   0.00911143  -0.182341  1.07141
 10   294.523   0.0714755   0.00760774  -0.170139  1.02323
 11   250.609   0.0287793   0.00864147  -0.178709  1.08023
 12   281.526   0.0945725   0.00726915  -0.173134  1.04379
 13   315.952   0.1132      0.00842136  -0.17912   1.06597
 14   223.131  -0.0312044   0.00931666  -0.181888  1.07369
 15   249.643   0.0795784   0.00960933  -0.199318  1.09423
 16   273.288  -0.0561292   0.0077277   -0.182123  1.12544
 17   237.793  -0.12649     0.00738453  -0.190175  1.16842
 18   243.349  -0.033644    0.00929518  -0.170863  1.08343
 19   243.387  -0.0455902   0.00837621  -0.184127  1.08238
 20   270.984  -0.0236044   0.0102719   -0.182612  1.0254
 21   281.389  -0.0171469   0.00912915  -0.171173  1.03895
 22   281.791  -0.00787292  0.00687425  -0.166382  1.02101
 23   267.294  -0.0273952   0.00698371  -0.16942   1.16528
 24   345.084   0.0281295   0.00802125  -0.191348  1.0936
 
